model,r2_mean,r2_std,rmse_mean,rmse_std
Ridge,0.3884127608493933,0.19571788027373174,16.21783769590248,3.3829045467041396
BayesRidge,0.3521249935859193,0.18110208308731338,16.694618694891098,2.9088401836358107
ElasticNet,0.1703059532639354,0.20903203186192562,18.79871527643,2.285196854380735
KNN,0.11105570061450294,0.21798055075710623,19.62942673898447,3.314641965946906
SVR,0.2424373130672317,0.13305007373197528,18.19446580978144,2.727374726855367
RF,0.39134966575015606,0.11817999619282075,16.29039755422182,2.510943551341091
ExtraTrees,0.3513681880835738,0.12820632453580147,16.842594144340502,2.776654481404964
GBR,0.4410237769437102,0.12721147673582522,15.474021079086318,2.054898157254711
XGBoost,0.44385710290066555,0.15108937087926919,15.457011554394327,2.6668157479198045
