year,distance,ao,roni,pdo,pna
2006,0.323902002069213,-0.5042249999999999,-0.615,-0.3975,0.4875
2021,0.4993111157162212,-0.5512250000000001,-1.39,-0.7175,0.22000000000000003
1985,0.5815436593909161,-0.898975,-0.7899999999999999,0.845,-0.04500000000000004
1996,0.5826421529573517,-0.9939500000000001,-0.9175,0.235,0.024999999999999998
1955,0.6139092835287456,-0.10655000000000003,-0.5125,0.235,0.52
2017,0.6588489293731236,0.05004999999999998,-0.9800000000000002,1.095,0.6724999999999999
2023,0.664368565088519,-0.42722499999999997,-0.9924999999999999,-1.6324999999999998,-0.2525
