feature,rf,gbr,ridge_abs,combined
np_lag3,0.06143715756275311,0.12392943205179517,0.6463498091193499,0.0498663245379116
buoy_storm_days_lag3,0.029673240521193123,0.05067753837024103,1.123370582273539,0.045213759838310566
np_lag2,0.04009518725560505,0.09164368638697858,0.5796733562132601,0.040067777319148005
buoy_wspd_lag2,0.03969458204248047,0.07888770128706503,-0.0659120397542098,0.029568784295812948
hgt500_gradient_lag3,0.024988962819178305,0.023858746261805522,-0.8541072558726811,0.026286077189638695
np_lag1,0.027772028253658487,0.04825032516657823,0.3622739952287899,0.024754332604905473
slp_nepac_anom_lag3,0.04217608424186871,0.036696883660615416,0.2955449206153389,0.02357742634526817
amo_lag2,0.013099314175103256,0.022992173688695102,-0.652745897062088,0.022553947001631762
pmm_lag1,0.01592831729395026,0.02228348776208774,-0.7649916294902924,0.02225059990745463
pmm_lag0,0.01778817827353183,0.028838720941591147,-0.5657010376346593,0.02039203253663987
syn_slp_gradient_lag2,0.014968743179807653,0.01628197152443138,0.5824802097661873,0.019498574051282823
ao_lag3,0.023577905672655965,0.04255300329277742,-0.13160894585920807,0.016821495285510857
roni_lag3,0.014374699815958587,0.009183373610332096,-0.36931729877587965,0.016552242150197672
buoy_storm_days_lag2,0.008606468932153576,0.00368971960614375,0.625281156519929,0.016300041155567522
syn_slp_gradient_lag1,0.012541999709820907,0.0023634267712854947,0.6201216387890076,0.01572884230018819
buoy_storm_days_lag0,0.005474608100925848,0.003036166792892607,-0.48236935628367406,0.014576383501779307
hgt500_gradient_lag0,0.008068405430352988,0.011029378121499879,0.485399904532137,0.01393330949512525
nino4_anom_lag0,0.008939712726617316,0.016592621829048963,0.18302774934205188,0.013474335745088214
qbo_lag0,0.008542449975487506,0.008208542091821964,0.44884738053214307,0.01316691393793086
amo_lag3,0.010835910083335175,0.012376828165535748,-0.3981469819385839,0.012965967050161247
buoy_wspd_lag3,0.02723308951482749,0.015284784104309532,-0.03587091809170634,0.012851010038848315
syn_slp_gradient_lag0,0.011655969924776452,0.0038706220204874223,0.4461292431452538,0.012230173682063913
qbo_lag3,0.004746878837562804,0.009678453567898027,-0.33907646364088795,0.012088524491146141
pdo_lag0,0.003603459354705313,0.00016750850137430497,0.5507660831175109,0.012012585851276483
pdo_lag1,0.005715093694421302,0.0012293998770256946,0.45554648215695576,0.011260597018991278
z500_nepac_anom_lag2,0.007953241198546556,0.0078155856394585,-0.4041429412691975,0.010949738260807603
amo_lag0,0.00593796796445302,0.011732743914476026,0.36427713118345645,0.010741753653595334
ao_lag2,0.015649404462977322,0.019751700556254016,0.2114418711014647,0.010470775950428375
pmm_lag2,0.008242196039274783,0.0018400100995007544,-0.3949309184368864,0.010449859930594588
syn_slp_gradient_lag3,0.015777232958811737,0.007938436262313926,0.1810137059878923,0.010429633900554017
roni_lag2,0.005701859550416346,0.0005997888117667226,-0.3308384022756745,0.010116811990046883
buoy_wspd_lag0,0.007349756283441298,0.01821774829203431,-0.15990611710515992,0.01005093615576766
np_x_pna_lag2,0.008392853494660473,0.003522964663696501,-0.3993748908845299,0.009996488881691192
buoy_pres_lag3,0.005364341282653475,0.006896533642270146,0.19099821485582355,0.009627878029793771
roni_lag0,0.008804449360483312,0.005306573454666692,-0.20440916520008795,0.00955424630831803
roni_lag1,0.007872400560773712,0.0004358256806296338,-0.2749402414111183,0.009418322794880682
hgt500_gradient_lag2,0.003932135130314986,0.0016854537539142357,-0.3084290077082187,0.00936924906022341
z500_nepac_anom_lag1,0.004653543724242574,0.0018323169403542902,-0.3965981143716068,0.009295101062499188
z500_nepac_anom_lag3,0.014721147699421297,0.022634661696367173,0.014165524767502966,0.009263172646432219
nino4_anom_lag3,0.015923629091023427,0.0016047562341138754,0.023111950988698404,0.009195742919163375
qbo_lag1,0.006319473638317765,0.0030599445517409565,0.25671840056766626,0.008954531520179682
np_x_pna_lag3,0.012389936443844628,0.0010617854960108877,-0.3763271915637654,0.008951560108961287
buoy_pres_lag0,0.0017246747580808167,0.0022032808161019045,-0.42931429746641225,0.008935688884053158
pdo_lag2,0.004355072795384287,0.005494713001492162,0.2899881321777023,0.008717339285424211
pna_lag1,0.0059280844285817666,0.008693670522191875,-0.23464420547740955,0.008377996894240755
buoy_wspd_lag1,0.01111913758279938,0.009435705493337498,-0.0407665792468547,0.007889598545369922
tni_lag0,0.007258289640033636,0.0015788549311603248,-0.16936839293240993,0.007797856962895295
slp_nepac_anom_lag1,0.01579145337449631,0.006179077608187031,0.12151813807814155,0.007787063201731869
pna_lag0,0.007520084598802851,0.009103742640200542,-0.2401722915738391,0.0077252269886659885
index6_120w_mjo_lag2,0.007966177930861486,0.008048645619057809,0.24042320048484037,0.007668310981977425
nino4_anom_lag1,0.00727596368669788,0.0005802859173638877,0.10433376666700811,0.007458481982896424
z500_nepac_anom_lag0,0.0036142867565154293,0.0028187005114704727,-0.30208753247909287,0.007346029907036434
solar_lag1,0.006373326224610152,0.0010423978102202234,-0.16125986421327487,0.007335480828880478
index7_40w_mjo_lag3,0.009758929231520094,0.0020042121661305737,0.24909036149634528,0.006894285895993465
slp_nepac_anom_lag2,0.014323364047761633,0.010912299111667906,0.03146471551852315,0.0068802844364087784
index7_40w_mjo_lag2,0.009292705701225723,0.0014224352094324296,0.24042320048484014,0.006773327243829679
index6_120w_mjo_lag3,0.009822523129867507,0.00020583352268548,0.24909036149634545,0.006614748127477333
amo_lag1,0.0065594432541008114,0.0008475665407362,-0.21887693023544183,0.006579162999054822
pna_lag3,0.004229802082529309,0.0010486484694925014,0.17236930660289768,0.0065755306220053895
pdo_lag3,0.004234887744173257,0.0032191444620592643,-0.13343152742733716,0.006517189051465108
tni_lag2,0.006492208874487742,4.610487726998333e-05,-0.13499014845264132,0.006374811112181093
nino12_anom_lag1,0.0029708733585045006,0.002575559932524701,0.16177260003199292,0.006287469359315711
tni_lag3,0.004995414572347605,0.0034757505450109527,-0.2289743803488866,0.006225709097220527
nino4_anom_lag2,0.01119345234069511,0.003517209265395479,0.04258314943087232,0.006175320000067629
qbo_lag2,0.009772317294803146,0.00830073710560759,-0.043682972915009485,0.006068492734371342
ao_lag1,0.015567814017384303,0.006621975819387216,0.07432281892104928,0.005986352471244932
np_x_pna_lag1,0.00563670526652228,0.006776530951677107,-0.19695261825882984,0.00595901972806157
tni_lag1,0.009074126030494784,0.008992131478361049,0.09810937118333396,0.005889570602472618
buoy_pres_lag1,0.0023859377937372537,1.9456235714692778e-05,-0.28439946461377186,0.005836081732499656
epo_lag1,0.006652145772854578,0.003383517748776298,-0.17419336313481,0.00574481216655705
ao_lag0,0.006176870323394039,0.013374437296559006,0.12791368340402048,0.005731149644383361
buoy_storm_days_lag1,0.0030730362933048803,0.0005422905374055414,0.2661737203172407,0.0056865434386228295
pna_lag2,0.004411658888326513,0.0029870353464074026,0.153533796905251,0.005572269045910986
epo_lag3,0.006225074082273949,0.00613699875811066,0.15021705332479712,0.0054029063226495935
