model,r2_mean,r2_std,rmse_mean,rmse_std
Ridge,-0.07187526853558306,0.616515155712726,42.59057832334184,5.285392444794846
BayesRidge,-0.10527501207055052,0.6733179420256242,42.978653436276645,5.487115390853773
ElasticNet,-0.18143056240524935,0.8211578863512331,43.5218601270845,5.534174974396982
KNN,-0.02842242731907052,0.360664990171029,43.393523426769306,5.9030560272798205
SVR,0.03296008763910685,0.1323965960756676,43.561839828924775,9.626428757807012
RF,0.038094513880676265,0.4179279904778081,41.640700239232665,6.89398134814639
ExtraTrees,0.07458613617446982,0.3004743232434245,41.624159064651465,7.8837789271561975
GBR,0.11727544649519324,0.31200532993201324,40.168802883687945,5.977595215525722
XGBoost,0.13614330258982238,0.34046644847062935,39.54507950078502,5.922427820424427
