label,rmse,rmse_clim,skill,corr,bias,n
Ridge+GBR | all | clim=60%,11.28183995430959,11.484905413049841,0.017681073673407544,0.8626739876772378,0.010092804558269108,222
Ridge+RF+GBR+XGB | all | clim=60%,11.386838759524881,11.484905413049841,0.00853874281050071,0.8620089886574266,0.014285617467155731,222
ElasticNet | all | clim=60%,11.411812812157674,11.484905413049841,0.006364231855938041,0.8493457987455505,-0.10502359723025378,222
Ridge(alpha=10) | all | clim=60%,11.458753207691828,11.484905413049841,0.0022770936648983664,0.8464567638391235,-0.11570401804508634,222
Ridge+RF+GBR | all | clim=60%,11.474381411588896,11.484905413049841,0.0009163333159877274,0.8610315343703736,0.05951127636777542,222
Ridge(alpha=50) | all | clim=60%,11.542671328845016,11.484905413049841,-0.005029724992731577,0.8506369517302874,-0.049096835280288076,222
Ridge+GBR | all | clim=50%,11.582134898492754,11.484905413049841,-0.008465849908736223,0.8588627509395054,0.012616005697836385,222
BayesRidge | all | clim=60%,11.608220936468518,11.484905413049841,-0.010737182326165051,0.8492169911198089,-0.04732320430007064,222
ensemble | all | clim=60%,11.6649396459066,11.484905413049841,-0.015675726214705588,0.8579629649166343,-0.5172486292736629,222
Ridge+BayesRidge | all | clim=60%,11.675079551650594,11.484905413049841,-0.016558616006072224,0.8491860416867991,-0.037107658718184666,222
Ridge+RF+GBR+XGB | all | clim=50%,11.69102166900445,11.484905413049841,-0.01794670905346818,0.8598530803774059,0.01785702183395088,222
Ridge+RF+GBR+XGB | core8 | clim=60%,11.712823289829709,11.484905413049841,-0.019844993805599342,0.8612745734886327,0.0745721686710894,222
Ridge(alpha=100) | all | clim=60%,11.755308639821937,11.484905413049841,-0.023544227579344934,0.8487162503883511,-0.026892113136291584,222
Ridge+RF | all | clim=60%,11.765084734143247,11.484905413049841,-0.024395440015992698,0.8556528033668289,0.06572805342525356,222
Ridge+RF+GBR | all | clim=50%,11.810467289632022,11.484905413049841,-0.028346935814748564,0.8585674383155696,0.0743890954597255,222
Ridge+RF+GBR | core8 | clim=60%,11.84240994311339,11.484905413049841,-0.031128208479395125,0.8626339839049166,0.07861376490216898,222
Ridge+GBR | core8 | clim=60%,11.890390457780851,11.484905413049841,-0.03530591068432076,0.8616150807298082,0.05792030580374785,222
Ridge+RF+GBR+XGB | core6 | clim=60%,11.901587919064651,11.484905413049841,-0.036280882691585026,0.8537176091789718,0.08497498712266705,222
ElasticNet | all | clim=50%,11.95735452158485,11.484905413049841,-0.041136525860995254,0.8310096138075052,-0.13127949653781457,222
Ridge+GBR | all | clim=40%,12.009182871419972,11.484905413049841,-0.04564926218499066,0.8488931929523609,0.015139206837403663,222
Ridge(alpha=200) | all | clim=60%,12.03090260763391,11.484905413049841,-0.047540417177809324,0.8460418525694674,-0.01070111424338549,222
Ridge(alpha=50) | all | clim=50%,12.041736434617965,11.484905413049841,-0.04848372725259176,0.83579106444248,-0.061371044100354766,222
Ridge(alpha=10) | all | clim=50%,12.047120441488708,11.484905413049841,-0.0489525170838625,0.8261916879481279,-0.1446300225563597,222
ensemble | all | clim=50%,12.066837549626902,11.484905413049841,-0.05066930163097694,0.854475473436252,-0.6465607865920795,222
Ridge+RF+GBR | core6 | clim=60%,12.067178673816034,11.484905413049841,-0.05069900358992774,0.8533745663744805,0.0631486919832085,222
ensemble | core8 | clim=60%,12.084212039838636,11.484905413049841,-0.0521821125411992,0.8597109781460979,-0.35577648538102835,222
Ridge+RF+GBR+XGB | all | clim=40%,12.113303852700907,11.484905413049841,-0.054715160208201885,0.852268600924622,0.02142842620073182,222
BayesRidge | all | clim=50%,12.116574682769288,11.484905413049841,-0.05499995402676161,0.8342235169650182,-0.05915400537508475,222
Ridge+GBR | core6 | clim=60%,12.153820482796235,11.484905413049841,-0.058242975948790354,0.8501682700843723,0.0316023588019263,222
Ridge+RF | core8 | clim=60%,12.16540026654029,11.484905413049841,-0.05925123708178126,0.8640463849707463,0.05226239768142804,222
Ridge+BayesRidge | all | clim=50%,12.186394901401224,11.484905413049841,-0.06107925691354055,0.8349704525032191,-0.04638457339772728,222
Ridge+RF+GBR+XGB | core8 | clim=50%,12.206373981782335,11.484905413049841,-0.06281885159565337,0.8554022292920983,0.09321521083886353,222
Ridge+RF | all | clim=50%,12.208656659480058,11.484905413049841,-0.06301760618836671,0.8506213175255783,0.08216006678156873,222
Ridge+KNN | all | clim=60%,12.23454752250117,11.484905413049841,-0.06527194456469276,0.8440295649631244,-1.4845036762827064,222
Ridge+GBR | all | clim=35%,12.266256299209804,11.484905413049841,-0.06803285338964526,0.8412282037116431,0.0164008074071873,222
Ridge+RF+GBR | all | clim=40%,12.266511007840334,11.484905413049841,-0.0680550310760406,0.8504297287278656,0.08926691455166846,222
Ridge(alpha=100) | all | clim=50%,12.276396778467017,11.484905413049841,-0.0689157931172717,0.8350689617353113,-0.033615141420362704,222
ensemble | core6 | clim=60%,12.322365831097422,11.484905413049841,-0.07291835569633931,0.8495934949686568,-0.23921552650476485,222
Ridge+RF+GBR+XGB | all | clim=35%,12.365083741997152,11.484905413049841,-0.07663783873632957,0.8459962621068795,0.023214128384129395,222
Ridge(alpha=10) | core8 | clim=60%,12.375153861060117,11.484905413049841,-0.07751465214495568,0.8487583923444223,-0.02065023010805689,222
Ridge+RF+GBR | core8 | clim=50%,12.378423489318507,11.484905413049841,-0.0777993413209479,0.8583502790346199,0.09826720612771211,222
ElasticNet | core8 | clim=60%,12.388061008040548,11.484905413049841,-0.07863848786812722,0.8501454969094313,-0.014450559991004752,222
Ridge(alpha=500) | all | clim=60%,12.40573396023268,11.484905413049841,-0.08017728610429287,0.8445836847351611,0.00364357159656592,222
Ridge+RF | core6 | clim=60%,12.4270627821872,11.484905413049841,-0.08203440387648486,0.8525254187030605,0.0716232339316285,222
Ridge+RF+GBR+XGB | core6 | clim=50%,12.433767798604618,11.484905413049841,-0.08261821507703693,0.845305174300855,0.10621873390333647,222
Ridge+GBR | core8 | clim=50%,12.458643945371179,11.484905413049841,-0.08478420128866859,0.8556949308015761,0.07240038225467771,222
Ridge+RF+GBR | all | clim=35%,12.53556089153569,11.484905413049841,-0.09148142197949927,0.8437249389284501,0.0967058240976364,222
Ridge+GBR | all | clim=30%,12.550051237011962,11.484905413049841,-0.09274310807573904,0.8316072439651049,0.01766240797697094,222
Ridge(alpha=50) | core8 | clim=60%,12.555670443525043,11.484905413049841,-0.09323237693002984,0.85536685110008,-0.018897801898958733,222
ensemble | all | clim=40%,12.59145123083557,11.484905413049841,-0.09634783901035915,0.844829436074661,-0.7758729439105032,222
BayesRidge | core8 | clim=60%,12.596213372032517,11.484905413049841,-0.09676248249462649,0.8535748442649653,-0.03528217005807477,222
Ridge(alpha=200) | all | clim=50%,12.604126021590176,11.484905413049841,-0.09745144328908517,0.8334303725941082,-0.01337639280423275,222
Ridge+RF+GBR+XGB | all | clim=30%,12.641856059281778,11.484905413049841,-0.10073662817608753,0.8378349094993099,0.024999830567523418,222
Ridge+RF+GBR | core6 | clim=50%,12.649768269911464,11.484905413049841,-0.10142555075273285,0.845779675702245,0.0789358649790124,222
Ridge+BayesRidge | core8 | clim=60%,12.654085970279835,11.484905413049841,-0.10180149641472025,0.8551410294604694,-0.02537902889711674,222
ensemble | core8 | clim=50%,12.687967101279416,11.484905413049841,-0.10475155388416035,0.8557344551521272,-0.44472060672627833,222
ElasticNet | all | clim=40%,12.688344372563302,11.484905413049841,-0.10478440319987659,0.8034191691218234,-0.15753539584538245,222
Ridge(alpha=50) | all | clim=40%,12.70230736488426,11.484905413049841,-0.10600017223051172,0.8114768023114559,-0.07364525292042856,222
Ridge+RF+GBR+XGB | core4 | clim=60%,12.716964218569299,11.484905413049841,-0.10727635633111254,0.8258485386600658,0.17117715047596604,222
Ridge(alpha=100) | core8 | clim=60%,12.724662797894327,11.484905413049841,-0.10794667785733769,0.8559167705555384,-0.015475887736165816,222
Ridge+RF+GBR | core4 | clim=60%,12.760734449245255,11.484905413049841,-0.11108746570483219,0.8304869775231849,0.14603318382904362,222
Ridge+GBR | core6 | clim=50%,12.767727658864738,11.484905413049841,-0.11169637012049538,0.8405785849356496,0.039502948502413204,222
Ridge+RF | all | clim=40%,12.778403298615782,11.484905413049841,-0.1126259067050035,0.8386215588087846,0.09859208013787679,222
BayesRidge | all | clim=40%,12.78324810732283,11.484905413049841,-0.11304774811621288,0.8096751440923655,-0.07098480645010241,222
Ridge+GBR | core4 | clim=60%,12.810049700002082,11.484905413049841,-0.11538138446020918,0.8279022017264605,0.15876014853976628,222
Ridge+KNN | core8 | clim=60%,12.814063716251969,11.484905413049841,-0.11573088810046772,0.8430463861456591,-0.7361353210330073,222
Ridge+RF | core8 | clim=50%,12.817275501250341,11.484905413049841,-0.11601054081704332,0.862352895243477,0.06532799710178949,222
Ridge(alpha=10) | all | clim=40%,12.82790839765598,11.484905413049841,-0.11693635570390848,0.7967140673831284,-0.17355602706762951,222
Ridge+RF+GBR | all | clim=30%,12.8297269221374,11.484905413049841,-0.11709469610080481,0.8349862740110641,0.10414473364361498,222
Ridge+KNN | all | clim=50%,12.839049464535883,11.484905413049841,-0.11790641740482966,0.8337980074919337,-1.8556295953533812,222
Ridge+RF+GBR+XGB | core8 | clim=40%,12.84501144359252,11.484905413049841,-0.11842553174162362,0.8405451732367637,0.11185825300663765,222
Ridge+BayesRidge | all | clim=40%,12.85102373710243,11.484905413049841,-0.11894902699854404,0.811082716783942,-0.05566148807726634,222
ensemble | core4 | clim=60%,12.853971959707636,11.484905413049841,-0.11920573112445298,0.833550139027021,-0.12020060951738998,222
Ridge+GBR | all | clim=25%,12.858798567532295,11.484905413049841,-0.11962598777011735,0.8199340987993898,0.018924008546747473,222
ensemble | all | clim=35%,12.895233750376203,11.484905413049841,-0.122798428598625,0.8370741339301212,-0.8405290225697044,222
Ridge(alpha=200) | core8 | clim=60%,12.916437049261676,11.484905413049841,-0.12464461697570828,0.8545221248134427,-0.010275606058325337,222
Ridge+RF+GBR+XGB | all | clim=25%,12.942017472513701,11.484905413049841,-0.1268719251103454,0.8276210778254174,0.026785532750913887,222
Ridge(alpha=100) | all | clim=40%,12.946551134495804,11.484905413049841,-0.12726667472464803,0.8116222092235242,-0.04033816970443738,222
